rep,id,eta_th1,eta_th2,eta_th3,eta_th4
1,243,2.43643894250436,0,0,0
2,243,-0.463094514757346,0,0,0
1,244,-5.21796000093391,0,0,0
2,244,2.82094813784703,0,0,0
1,245,-1.91436625907654,0,0,0
2,245,4.74650295851831,0,0,0
1,246,-2.78633966009464,0,0,0
2,246,-5.99659780923141,0,0,0
1,247,-0.245617283019902,0,0,0
2,247,-1.93167937140914,0,0,0
1,248,-7.6001598768638,0,0,0
2,248,-6.51419426910704,0,0,0
1,249,4.45598162166179,0,0,0
2,249,7.31818727509674,0,0,0
1,250,-6.2391807030297,0,0,0
2,250,-3.8872929738581,0,0,0
1,251,0.793957732226575,0,0,0
2,251,-1.05541126745749,0,0,0
1,252,-10.0505718465168,0,0,0
2,252,-10.2546616619525,0,0,0
1,253,8.13497869769168,0,0,0
2,253,-5.12243574699358,0,0,0
1,254,4.24384853219071,0,0,0
2,254,8.34399097093829,0,0,0
1,255,-3.83626043831251,0,0,0
2,255,-2.94842829261384,0,0,0
1,256,-2.69519956112815,0,0,0
2,256,0.81167258919976,0,0,0
1,257,-20.0310407751503,0,0,0
2,257,-18.971752595464,0,0,0
1,258,2.24839049953733,0,0,0
2,258,7.39557574659666,0,0,0
1,259,5.29880366384578,0,0,0
2,259,-6.80367836394931,0,0,0
1,260,5.88816828769931,0,0,0
2,260,-2.78863747532242,0,0,0
1,261,3.29179608536544,0,0,0
2,261,5.1537103207403,0,0,0
1,262,0.0409395634365222,0,0,0
2,262,13.4412204961559,0,0,0
1,263,9.33629821995051,0,0,0
2,263,3.11093112604695,0,0,0
1,264,-2.24021614263515,0,0,0
2,264,0.188099704285988,0,0,0
1,265,2.4567878123626,0,0,0
2,265,-0.147528959853501,0,0,0
1,266,5.94526081306629,0,0,0
2,266,1.35911391892957,0,0,0
1,267,-7.92831977002763,0,0,0
2,267,-9.37432896535803,0,0,0
1,268,-13.5130466990319,0,0,0
2,268,-14.5705334324559,0,0,0
1,269,-1.51754870487021,0,0,0
2,269,-1.42434710720574,0,0,0
1,270,3.39125331296731,0,0,0
2,270,2.54264291353423,0,0,0
1,271,7.86603428429118,0,0,0
2,271,1.89384184747182,0,0,0
1,272,-12.1260251218551,0,0,0
2,272,-14.1189296222166,0,0,0
1,273,-4.34264485215077,0,0,0
2,273,8.42215184514624,0,0,0
1,274,5.30591019909238,0,0,0
2,274,3.93103628970883,0,0,0
1,275,1.65223643714994,0,0,0
2,275,6.48816636897119,0,0,0
1,276,-1.81155975279666,0,0,0
2,276,1.73477599966234,0,0,0
1,277,6.8816563506321,0,0,0
2,277,8.07575433749282,0,0,0
1,278,-5.82608026803827,0,0,0
2,278,-5.38092653209948,0,0,0
