id,eta_th1_SAEM,eta_th2_SAEM,eta_th3_SAEM,eta_th4_SAEM,eta_th1_mean,eta_th2_mean,eta_th3_mean,eta_th4_mean,eta_th1_mode,eta_th2_mode,eta_th3_mode,eta_th4_mode,eta_th1_sd,eta_th2_sd,eta_th3_sd,eta_th4_sd
244,3.04006,0,0,0,1.07324,0,0,0,0.102069,0,0,0,4.02206,0,0,0
245,2.10494,0,0,0,2.90006,0,0,0,0.102069,0,0,0,5.28648,0,0,0
246,-6.04668,0,0,0,-5.18689,0,0,0,-6.31206,0,0,0,1.72246,0,0,0
247,1.78796,0,0,0,2.95281,0,0,0,0.102068,0,0,0,4.52169,0,0,0
248,-6.99801,0,0,0,-6.52091,0,0,0,-6.84251,0,0,0,0.999774,0,0,0
249,2.81752,0,0,0,1.2347,0,0,0,0.102068,0,0,0,4.00445,0,0,0
250,2.66295,0,0,0,0.695078,0,0,0,0.102069,0,0,0,4.62977,0,0,0
251,1.9097,0,0,0,2.08376,0,0,0,0.102069,0,0,0,5.01955,0,0,0
252,-10.1634,0,0,0,-10.0331,0,0,0,-10.0461,0,0,0,0.801171,0,0,0
253,2.17155,0,0,0,1.88627,0,0,0,0.102069,0,0,0,4.64348,0,0,0
254,2.24088,0,0,0,3.15815,0,0,0,0.102069,0,0,0,4.91639,0,0,0
255,2.6867,0,0,0,1.14919,0,0,0,0.102069,0,0,0,4.84034,0,0,0
256,2.73257,0,0,0,2.80581,0,0,0,0.102069,0,0,0,5.43346,0,0,0
257,-17.2104,0,0,0,-17.5836,0,0,0,-16.321,0,0,0,2.47769,0,0,0
258,3.02496,0,0,0,3.28857,0,0,0,0.102069,0,0,0,4.88531,0,0,0
259,1.81647,0,0,0,2.67535,0,0,0,0.102069,0,0,0,5.2943,0,0,0
260,2.03351,0,0,0,1.61979,0,0,0,0.102069,0,0,0,4.58272,0,0,0
261,2.06954,0,0,0,3.96127,0,0,0,0.102068,0,0,0,4.64269,0,0,0
262,2.17108,0,0,0,2.51955,0,0,0,0.102069,0,0,0,4.40385,0,0,0
263,1.71181,0,0,0,2.84886,0,0,0,0.102069,0,0,0,5.48215,0,0,0
264,2.5671,0,0,0,2.44514,0,0,0,0.102069,0,0,0,5.68715,0,0,0
265,2.83141,0,0,0,1.68204,0,0,0,0.102069,0,0,0,4.44475,0,0,0
266,2.1282,0,0,0,2.68049,0,0,0,0.102068,0,0,0,3.99305,0,0,0
267,-8.17523,0,0,0,-8.30887,0,0,0,-8.07809,0,0,0,0.926287,0,0,0
268,-13.2671,0,0,0,-13.5976,0,0,0,-12.8018,0,0,0,1.16103,0,0,0
269,2.21303,0,0,0,2.35804,0,0,0,0.102069,0,0,0,4.26117,0,0,0
270,1.00712,0,0,0,2.27058,0,0,0,0.102069,0,0,0,4.85852,0,0,0
271,1.38325,0,0,0,2.30179,0,0,0,0.102069,0,0,0,5.02197,0,0,0
272,-14.4487,0,0,0,-14.2555,0,0,0,-13.972,0,0,0,1.67224,0,0,0
273,2.69471,0,0,0,2.34051,0,0,0,0.102069,0,0,0,4.78745,0,0,0
274,1.35268,0,0,0,2.62894,0,0,0,0.102069,0,0,0,4.18088,0,0,0
275,2.37426,0,0,0,2.64848,0,0,0,0.102069,0,0,0,4.8931,0,0,0
276,1.80215,0,0,0,2.15347,0,0,0,0.102069,0,0,0,4.23603,0,0,0
277,1.59658,0,0,0,0.792357,0,0,0,0.102069,0,0,0,4.77313,0,0,0
278,-7.02948,0,0,0,-6.0797,0,0,0,-6.84251,0,0,0,0.739973,0,0,0
279,-8.58119,0,0,0,-8.88969,0,0,0,-8.82907,0,0,0,1.70714,0,0,0
280,-7.43694,0,0,0,-6.98576,0,0,0,-7.35036,0,0,0,1.28162,0,0,0
281,2.68675,0,0,0,1.92602,0,0,0,0.102069,0,0,0,4.07433,0,0,0
282,2.26005,0,0,0,2.31414,0,0,0,0.102069,0,0,0,4.64669,0,0,0
283,1.91139,0,0,0,3.04241,0,0,0,0.102069,0,0,0,4.87918,0,0,0
284,0.863233,0,0,0,2.04905,0,0,0,0.102069,0,0,0,5.03728,0,0,0
285,1.96811,0,0,0,1.6304,0,0,0,0.102068,0,0,0,4.5989,0,0,0
